Provinces, 1: Participation at Local Levels,1.1: Civic Knowledge,1.2: Opportunities for Participation in Elections,1.3: Quality of Village Head Elections,1.4: Voluntary Contributions,2: Transparency of Local Decision-making,2.1: Access to Information,2.2: Poverty List Transparency,2.3: Communal Budget Transparency,3: Vertical Accountability,3.1: Interactions With Local Authorities,3.2: Governments Responsive to Citizen Appeals,3.3: Access to Justice Services,4: Control of Corruption in the Public Sector,4.1: Limits on Corruption in Local Governments,4.2: Limits on Corruption in Service Delivery,4.3: Equity in State Employment,4.4: Willingness to Fight Corruption,5: Public Administrative Procedures,5.1: Certification Procedures,5.2: Construction Permits,5.3: Land Tittle Procedures,5.4: Personal Procedures,6: Public Service Delivery,6.1: Public Healthcare,6.2: Primary Education,6.3: Basic Infrastructure,6.4: Law and Order
Hoa Binh,5.74,1.09,1.56,1.71,1.39,5.52,2.27,1.66,1.60,5.87,1.89,2.03,1.95,5.60,1.41,1.65,0.86,1.69,6.88,1.62,1.83,1.55,1.88,7.04,1.83,1.84,1.74,1.63
Thai Nguyen,5.37,1.00,1.47,1.72,1.18,5.96,2.48,1.88,1.60,5.38,1.64,1.86,1.88,5.88,1.71,1.74,0.74,1.69,7.18,1.81,1.72,1.73,1.92,6.97,2.01,1.56,1.72,1.67
Lang Son,4.24,0.87,1.33,1.47,0.59,5.67,2.35,1.73,1.59,5.33,1.86,1.59,1.88,6.04,1.72,1.93,0.69,1.71,6.86,1.72,1.80,1.53,1.81,6.81,1.92,1.59,1.63,1.66
Quang Ninh,5.20,1.09,1.49,1.69,0.93,5.33,1.93,1.81,1.59,5.69,1.93,1.73,2.03,5.72,1.44,1.80,0.88,1.60,6.79,1.61,1.73,1.61,1.83,6.68,1.97,1.55,1.47,1.69
Bac Giang,5.41,1.13,1.40,1.54,1.34,5.41,2.18,1.46,1.77,5.47,1.68,1.93,1.86,6.21,1.70,2.03,0.92,1.56,7.03,1.54,1.82,1.79,1.89,6.89,1.82,1.76,1.62,1.70
Phu Tho,5.84,1.20,1.60,1.67,1.37,5.85,2.41,1.69,1.76,6.95,2.10,2.41,2.43,6.65,1.75,1.96,1.20,1.74,6.89,1.53,1.84,1.65,1.87,6.88,1.92,1.69,1.59,1.68
Vinh Phuc,4.70,0.92,1.35,1.64,0.79,5.63,2.21,1.63,1.80,5.30,1.72,1.73,1.84,6.12,1.58,1.89,0.96,1.67,6.71,1.65,1.68,1.55,1.83,7.12,1.73,1.88,1.82,1.69
Bac Ninh,5.74,1.33,1.62,1.68,1.11,5.66,2.22,1.53,1.91,6.83,1.97,2.37,2.49,5.68,1.51,1.75,0.73,1.69,7.51,1.87,1.85,1.75,2.04,7.63,1.92,1.95,2.06,1.69
Hai Duong,5.52,1.14,1.44,1.60,1.34,5.65,2.18,1.63,1.84,6.20,1.71,2.35,2.14,5.94,1.48,1.74,0.93,1.79,7.19,1.61,1.83,1.75,1.99,6.92,1.80,1.66,1.88,1.57
Hai Phong,4.51,1.04,1.35,1.53,0.60,5.17,1.94,1.53,1.71,4.90,1.64,1.72,1.54,5.52,1.34,1.66,0.87,1.64,6.99,1.55,1.96,1.65,1.83,7.06,1.44,1.58,2.39,1.65
Hung Yen,5.16,0.97,1.34,1.55,1.31,5.08,2.12,1.36,1.61,5.59,1.56,2.04,1.99,5.13,1.34,1.53,0.66,1.59,6.59,1.58,1.64,1.53,1.85,7.49,1.84,1.82,2.22,1.62
Thai Binh,5.80,1.17,1.55,1.64,1.44,5.94,2.21,1.90,1.83,5.97,1.80,2.08,2.10,5.96,1.59,1.75,0.80,1.82,6.80,1.75,1.70,1.48,1.87,6.94,1.96,1.63,1.66,1.69
Ha Nam,4.93,1.03,1.42,1.62,0.85,5.77,2.33,1.67,1.77,5.42,1.58,1.87,1.97,5.84,1.59,1.70,0.89,1.66,6.92,1.63,1.76,1.66,1.87,6.91,1.78,1.66,1.80,1.67
Nam Dinh,5.36,1.23,1.46,1.61,1.06,6.12,2.39,1.86,1.88,6.57,1.98,2.39,2.20,5.89,1.54,1.66,0.81,1.87,7.18,1.73,1.95,1.64,1.86,7.00,1.77,1.63,1.92,1.69
Ninh Binh,4.96,0.90,1.25,1.68,1.12,5.48,2.28,1.60,1.60,5.67,1.74,1.80,2.13,6.27,1.56,1.75,1.11,1.86,7.20,1.62,1.92,1.78,1.87,7.45,1.87,1.65,2.25,1.69
Thanh Hoa,5.16,1.12,1.55,1.72,0.77,5.94,2.33,1.78,1.83,5.74,1.56,2.01,2.17,6.42,1.63,1.95,1.05,1.78,7.18,1.70,1.84,1.68,1.96,7.09,1.92,1.62,1.87,1.67
Nghe An,5.29,1.01,1.50,1.67,1.11,5.90,2.32,1.85,1.73,6.05,1.81,2.16,2.08,5.51,1.44,1.62,0.78,1.67,6.91,1.65,1.89,1.51,1.86,6.69,1.77,1.59,1.65,1.67
Ha Tinh,6.44,1.48,1.84,1.77,1.35,7.24,2.89,2.26,2.09,7.51,2.11,2.66,2.74,6.67,1.80,2.04,1.02,1.81,7.30,1.76,1.88,1.70,1.96,7.17,2.04,1.73,1.69,1.71
Quang Binh,4.87,1.14,1.36,1.67,0.70,5.28,2.08,1.62,1.58,6.14,1.78,2.29,2.07,5.94,1.67,1.75,0.76,1.77,7.21,1.69,1.89,1.67,1.95,7.12,2.04,1.61,1.91,1.56
Quang Tri,5.29,1.17,1.63,1.52,0.97,6.02,2.31,1.95,1.76,6.41,2.02,2.09,2.29,6.69,1.85,2.06,0.96,1.82,6.74,1.68,1.67,1.47,1.93,7.02,2.02,1.65,1.71,1.63
Thua Thien-Hue,4.88,0.93,1.54,1.55,0.85,5.40,2.31,1.62,1.46,5.58,1.87,1.75,1.96,6.02,1.49,1.82,0.92,1.78,6.71,1.33,1.94,1.52,1.91,7.36,1.94,1.37,2.36,1.68
Da Nang,5.07,1.13,1.50,1.70,0.74,5.48,1.76,2.03,1.69,5.85,2.29,1.94,1.62,5.58,1.27,1.70,0.90,1.71,7.18,1.79,1.80,1.68,1.91,7.53,1.82,1.72,2.36,1.63
Quang Nam,5.86,1.30,1.81,1.74,1.01,5.54,2.31,1.60,1.64,5.52,1.99,1.68,1.85,6.51,1.67,1.99,0.99,1.86,6.42,1.54,1.55,1.38,1.95,6.67,2.07,1.37,1.58,1.64
Quang Ngai,4.08,0.77,1.28,1.32,0.71,4.60,1.67,1.34,1.60,5.39,1.96,1.81,1.62,5.38,1.23,1.63,0.87,1.65,5.90,1.36,1.37,1.39,1.76,6.41,1.72,1.39,1.69,1.62
Binh Dinh,4.80,1.03,1.43,1.44,0.90,5.65,2.22,1.54,1.88,5.94,1.74,2.11,2.09,6.11,1.45,1.90,0.99,1.78,6.69,1.47,1.90,1.43,1.89,6.90,1.84,1.59,1.79,1.68
Phu Yen,4.64,0.93,1.47,1.33,0.90,5.21,1.98,1.54,1.70,5.32,1.78,1.80,1.74,5.28,1.23,1.57,0.84,1.63,6.28,1.49,1.76,1.11,1.93,7.05,1.87,1.76,1.77,1.64
Khanh Hoa,4.47,0.98,1.56,1.36,0.56,4.70,1.52,1.58,1.59,5.20,1.85,1.58,1.77,5.55,1.39,1.64,0.87,1.65,6.54,1.40,1.67,1.57,1.90,6.94,1.87,1.61,1.94,1.52
Ninh Thuan,4.43,0.81,1.49,1.39,0.74,4.49,1.75,1.24,1.50,5.17,1.69,1.73,1.75,5.99,1.51,1.80,1.06,1.61,6.42,1.34,1.56,1.75,1.76,7.37,1.99,1.59,2.08,1.70
Binh Thuan,4.73,0.85,1.55,1.47,0.86,4.71,1.79,1.40,1.52,5.57,2.02,1.61,1.93,5.58,1.31,1.75,0.96,1.57,6.94,1.76,1.76,1.53,1.89,7.13,1.70,1.66,2.23,1.54
Kon Tum,4.38,0.84,1.39,1.41,0.74,4.92,1.78,1.62,1.52,5.75,2.04,1.75,1.95,5.11,1.30,1.52,0.71,1.57,6.37,1.44,1.63,1.48,1.82,6.78,1.82,1.76,1.67,1.54
Gia Lai,4.84,1.08,1.43,1.42,0.91,5.33,2.01,1.66,1.66,5.48,1.85,1.76,1.87,5.47,1.39,1.77,0.74,1.57,6.90,1.49,1.82,1.72,1.88,6.51,1.59,1.59,1.75,1.58
Dak Lak,4.60,0.86,1.51,1.49,0.73,5.28,1.89,1.61,1.78,5.44,1.98,1.76,1.70,5.07,1.23,1.59,0.58,1.67,7.02,1.67,1.80,1.69,1.86,7.13,1.90,1.87,1.69,1.67
Dak Nong,4.84,1.07,1.51,1.62,0.63,4.92,1.76,1.50,1.66,5.01,1.66,1.51,1.85,5.94,1.37,1.77,0.94,1.86,6.38,1.45,1.76,1.38,1.78,6.32,1.72,1.16,1.86,1.58
Lam Dong,4.68,0.95,1.53,1.43,0.76,4.92,1.78,1.58,1.56,5.57,2.02,1.61,1.95,5.22,1.22,1.57,0.81,1.61,6.76,1.51,1.91,1.52,1.83,7.07,1.88,1.58,1.99,1.62
Binh Phuoc,4.76,0.99,1.46,1.52,0.79,5.65,2.28,1.81,1.56,5.70,2.08,1.81,1.80,5.67,1.36,1.74,0.77,1.80,7.28,1.88,1.81,1.65,1.94,6.32,1.56,1.21,1.92,1.63
Tay Ninh,4.84,0.93,1.69,1.48,0.74,4.74,1.58,1.28,1.88,5.61,1.96,1.80,1.85,6.57,1.57,1.89,1.37,1.75,6.80,1.64,1.76,1.58,1.83,7.18,1.82,1.63,2.01,1.72
Binh Duong,4.23,0.82,1.25,1.44,0.72,5.39,2.44,1.65,1.30,4.80,1.52,1.60,1.67,4.87,0.98,1.55,0.76,1.57,6.72,1.71,1.70,1.39,1.92,6.87,1.43,1.59,2.22,1.62
Dong Nai,4.78,0.92,1.48,1.33,1.04,5.08,2.02,1.56,1.51,5.60,1.80,1.90,1.91,5.90,1.35,1.76,1.00,1.79,6.77,1.70,1.74,1.43,1.90,7.50,1.81,1.82,2.21,1.66
Ba Ria-Vung Tau,4.37,0.82,1.45,1.46,0.64,5.18,2.08,1.44,1.66,5.17,1.85,1.77,1.55,5.69,1.44,1.77,0.88,1.60,6.83,1.65,1.55,1.75,1.88,7.22,1.71,1.63,2.24,1.63
Ho Chi Minh City,4.27,0.94,1.49,1.31,0.53,5.41,2.07,1.90,1.44,4.97,1.88,1.48,1.61,5.14,1.02,1.66,0.71,1.75,7.05,1.87,1.73,1.64,1.80,7.38,1.56,1.87,2.38,1.57
Long An,4.94,1.14,1.78,1.30,0.72,6.26,2.66,1.88,1.72,6.03,2.08,1.82,2.13,7.03,1.81,2.09,1.37,1.75,7.46,1.86,1.68,1.90,2.01,7.23,1.82,1.71,1.98,1.71
Tien Giang,4.36,0.78,1.60,1.05,0.93,4.95,1.82,1.50,1.63,5.22,1.81,1.52,1.90,6.15,1.45,1.83,1.15,1.73,6.96,1.58,1.84,1.74,1.80,6.42,1.74,1.70,1.36,1.61
Ben Tre,5.12,1.08,1.69,1.40,0.96,5.82,2.42,1.59,1.80,5.66,2.00,1.79,1.87,6.36,1.55,1.88,1.26,1.67,7.01,1.64,1.85,1.65,1.88,6.89,1.77,1.68,1.80,1.63
Tra Vinh,4.63,0.89,1.41,1.28,1.05,4.80,1.72,1.40,1.68,5.44,2.08,1.72,1.64,7.27,1.98,2.14,1.45,1.69,6.68,1.14,1.89,1.71,1.94,6.43,1.85,1.45,1.40,1.72
Vinh Long,4.54,0.90,1.58,1.37,0.69,5.48,2.31,1.54,1.63,5.77,1.86,2.14,1.77,6.56,1.64,1.96,1.26,1.69,6.64,1.51,1.73,1.68,1.71,7.76,1.86,2.02,2.19,1.69
Dong Thap,5.16,1.13,1.47,1.45,1.11,5.73,2.38,1.54,1.81,6.24,1.95,2.23,2.07,6.68,1.81,2.01,1.27,1.59,7.04,1.48,1.89,1.87,1.81,7.06,1.90,1.66,1.86,1.63
An Giang,4.38,0.90,1.36,1.34,0.78,4.82,1.78,1.46,1.58,5.28,1.98,1.60,1.71,5.85,1.38,1.74,1.01,1.73,6.65,1.47,1.76,1.62,1.81,7.29,1.82,1.74,2.08,1.65
Kien Giang,4.62,0.84,1.57,1.47,0.74,4.82,1.76,1.44,1.62,4.82,1.84,1.46,1.53,6.41,1.61,1.87,1.22,1.71,6.53,1.46,1.64,1.66,1.77,7.25,1.87,1.67,2.07,1.64
Can Tho,5.11,1.26,1.67,1.21,0.96,6.14,2.45,1.83,1.86,6.27,2.28,1.92,2.06,7.22,2.04,2.08,1.31,1.80,7.39,1.74,1.86,1.75,2.03,7.22,1.83,1.67,1.96,1.76
Hau Giang,4.35,0.97,1.51,1.18,0.69,4.98,1.83,1.51,1.64,5.32,1.69,1.79,1.84,6.30,1.63,1.89,1.08,1.69,6.15,1.16,1.63,1.56,1.80,6.67,1.68,1.61,1.68,1.70
Soc Trang,4.89,0.85,1.47,1.41,1.16,5.23,1.91,1.26,2.06,5.16,1.93,1.53,1.70,6.59,1.70,1.98,1.20,1.71,6.44,1.39,1.75,1.50,1.80,6.96,1.83,1.69,1.74,1.70
Bac Lieu,4.72,0.93,1.51,1.38,0.91,4.78,1.76,1.31,1.71,5.54,1.90,1.70,1.94,6.40,1.65,1.91,1.06,1.78,6.58,1.58,1.67,1.55,1.78,6.95,1.81,1.68,1.78,1.68
Ca Mau,4.61,0.84,1.31,1.51,0.95,5.50,2.16,1.58,1.75,5.68,1.84,1.86,1.98,6.40,1.64,2.04,1.09,1.63,6.83,1.55,1.72,1.72,1.84,6.81,2.01,1.73,1.40,1.66
